states,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District_of_Columbia_,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming,Puerto_Rico
Louisiana,515,276,"1,653","5,743","2,397",584,53,196,"2,878","5,901","1,117",69,"2,205",458,100,"1,056","3,041",0,35,516,630,"1,637",274,"7,505",679,222,44,"2,065",0,629,"1,235","2,106",813,0,963,469,609,687,0,"1,205",291,"1,561","23,588",603,0,"1,330",884,567,407,97,238
Maine,47,765,0,850,840,"1,734",29,235,"2,082",235,55,308,180,204,0,67,512,38,0,377,"5,775","1,320",75,214,349,246,0,23,"4,731",389,97,"2,909","1,049",134,788,217,181,"1,393",317,503,71,583,"2,386",142,997,874,283,0,102,0,0
Maryland,485,"2,240",785,"7,924","1,168","1,890","5,811","21,093","11,989","3,676",892,470,"1,827","1,048",322,573,745,"1,281",990,0,"1,753","1,635",284,888,"1,253",223,576,120,"1,065","6,333","1,195","8,372","6,582",291,"3,098",831,916,"12,461",138,"2,515",154,"1,670","7,408","1,852",44,"26,522","1,881","5,422","1,731",147,"1,962"
Massachusetts,241,"1,554",222,"13,901","1,174","14,224",887,"1,557","9,455","2,988",257,44,"3,415",819,79,747,399,633,"3,188","3,439",0,"2,118","1,578",78,"1,227",216,194,321,"11,251","8,026",78,"19,960","3,170",0,"1,123",261,"1,013","6,014","10,630","1,135",52,"2,139","4,116",466,"1,979","4,260","2,069",115,703,44,"5,677"
Michigan,"1,025","4,028",755,"11,239","3,337","1,388",86,256,"12,601","1,477",496,509,"10,193","12,702",506,"1,825","2,221","1,254",410,"1,174","3,536",0,"1,195","1,124","1,926",527,"1,147","1,684",622,"2,313",331,"6,478","3,767",311,"13,625",396,"1,265","4,263",42,"2,627",354,"4,017","7,873",599,142,"4,095","3,169",115,"3,613",101,397
Minnesota,363,"2,176",621,"4,915","2,605",342,0,141,"5,720",727,241,544,"8,454","1,388","4,626",936,443,382,249,"1,330",819,"2,043",0,415,"2,483",812,"1,830",848,110,231,406,"3,536","1,934","9,793","1,134","1,111",974,"1,282",202,151,"3,896","1,220","4,757",626,85,810,"5,889",0,"15,270",424,100
Mississippi,191,674,696,"2,066",284,0,0,99,"3,369","3,358",489,0,"3,245","2,858",70,583,251,"12,049",52,391,346,675,28,0,"1,991",432,59,"1,023",0,154,0,"1,319",357,71,799,413,55,"1,071",0,658,0,"10,004","5,853",468,0,695,128,285,"1,243",747,303
Missouri,882,"2,009","8,166","8,156","8,782",361,235,461,"7,112","1,919",322,276,"20,041","3,462","4,904","21,037","2,042","2,063",182,682,497,"2,369","2,160","2,814",0,499,"2,071","1,481",0,"1,628",605,"3,210","2,432",190,"2,286","4,602",546,"1,605",40,"2,259",522,"3,153","10,799","2,886",236,"3,228","2,521",59,"1,546",610,777
Montana,986,"1,787",19,"4,991","2,921",323,0,0,"1,263",892,225,"2,157",549,391,142,"1,031",26,106,54,0,413,142,"2,505",0,187,0,93,251,257,90,"1,118",183,372,"1,978",733,239,"3,284",271,0,675,375,240,"2,198",891,56,248,"5,450",0,774,"1,949",131
Nebraska,34,"1,351",236,"4,148","4,835",348,0,100,"1,111",982,420,19,"1,696",669,"6,072","4,355",607,199,7,579,512,665,"2,242",353,"2,835",108,0,567,0,255,455,770,"1,362",393,771,795,818,285,70,72,"2,753",920,"6,429",448,0,674,654,41,336,960,40
Nevada,458,"6,999",49,"50,707","3,724",198,98,43,"4,018","1,511","4,959",875,"2,938",850,508,412,846,657,0,474,"1,992","1,157","1,070",459,"1,130",515,671,0,165,"2,179","2,121","2,770",903,0,"1,913","1,304","3,113","1,559",88,615,3,837,"5,129","7,133",26,"1,616","6,231",0,"1,151",791,564
New_Hampshire,45,704,569,"1,263",385,"1,298",238,95,"3,806",533,151,0,0,327,14,41,270,0,"4,016",423,"20,416","1,002",52,0,359,0,0,453,0,534,102,"1,276","1,714",60,258,79,230,"1,585",864,"1,027",0,246,786,31,"1,725",836,198,0,198,0,"1,041"
